"";"TournamentName";"TournamentStart";"TournamentEnd";"TournamentCountry";"TournamentPostalCode";"TournamentCity";"TournamentStreet";"TournamentPlace";"maxParticipants";"nParticipants";"TournamentID";"TournamentLongitude";"TournamentLatitude"
"66";"4. Hessische Meisterschaft";2012-06-16 10:00:00;2012-06-16 20:00:00;"Deutschland";"";"Darmstadt";"Kranichsteiner StraÃe 183";"Sportfeld Ziegelbusch der TG 1875 Darmstadt";12;10;66;8,6723973;49,8899555
"67";"5. WestfÃ¤lische Meisterschaft";2012-06-23 09:30:00;2012-06-24 17:00:00;"Deutschland";"59555";"Lippstadt";"Udener Str.";"Jahn-Sportplatz in Lippstadt";0;19;67;8,3337762;51,6721709
"68";"3. Turnier zu MÃ¼nster";2012-06-30 10:00:00;2012-07-01 14:00:00;"Deutschland";"48165";"MÃ¼nster";"Osttor 85";"Sportplatz TuS Hilturp";16;15;68;7,6688443;51,9068543
"69";"1. Hallesche Stadtbalgerei";2012-07-07 09:00:00;2012-07-08 17:00:00;"Deutschland";"06108";"Halle Saale";"kreuzvorwerk";"halle saale";20;9;69;11,9412713;51,5043603
"70";"1. WÃ¼rttembergische Meisterschaft";2012-07-14 09:00:00;2012-07-14 18:00:00;"Deutschland";"71409";"Schwaikheim";"SchillerstraÃe 2";"Altes Wiesental";0;10;70;9,3558994;48,8738103
"71";"18. Hamburger Meisterschaft";2012-08-18 10:00:00;2012-08-19 16:30:00;"Deutschland";"22303";"Hamburg";"SaarlandstraÃe";"Stadtpark / GelÃ¤nde Rugby FC St. Pauli";24;22;71;10,0316818;53,5957328
"72";"1. Freundschaftliches Jugger Turnier zu Hannover";2012-09-01 10:00:00;2012-09-02 18:00:00;"Deutschland";"30167";"Hannover";"Georgenpark";"Hannover";6;6;72;NA;NA
"73";"15. Deutsche Meisterschaft";2012-09-08 10:00:00;2012-09-09 16:00:00;"Deutschland";"10965";"Berlin";"Tempelhofer Feld";"Ex-Flughafen Tempelhof, Berlin";64;61;73;13,4027557;52,4729578
"74";"15. Deutsche Meisterschaft Kinder- und Jugendturnier";2012-09-08 10:00:00;2012-09-09 16:00:00;"Deutschland";"10965";"Berlin";"Tempelhofer Feld";"Ex-Flughafen Tempelhof, Berlin";0;5;74;13,4027557;52,4729578
"75";"8. Moshen im Park";2012-10-06 10:00:00;2012-10-06 19:00:00;"Deutschland";"23847";"Rethwisch";"Buchrader Weg 2";"Sportplatz des VfL Rethwisch";6;4;75;10,4401006536605;53,78423965
"76";"1. Freiburger Halloween Juggern";2012-10-27 08:00:00;2012-10-27 22:00:00;"Deutschland";"79110";"Freiburg";"Falkenbergerstr 21";"Bolzplatz bei Ãkostation";0;11;76;7,8238526;48,0138942
"77";"7. Berliner Juggerpokal";2013-04-20 10:00:00;2013-04-21 16:00:00;"Deutschland";"10965";"Berlin";"Tempelhofer Feld";"Ex-Flughafen Tempelhof, Berlin";28;27;77;13,4027557;52,4729578
"78";"7. Berliner Juggerpokal -Jugendturnier-";2013-04-20 10:00:00;2013-04-21 16:00:00;"Deutschland";"10965";"Berlin";"Tempelhofer Feld";"Ex-Flughafen Tempelhof, Berlin";6;5;78;13,4027557;52,4729578
"79";"7. Berliner Juggerpokal -Kinderturnier-";2013-04-20 10:00:00;2013-04-21 16:00:00;"Deutschland";"10965";"Berlin";"Tempelhofer Feld";"Ex-Flughafen Tempelhof, Berlin";6;6;79;13,4027557;52,4729578
"80";"2. Hagener Jugger Cup";2013-04-27 08:00:00;2013-04-27 18:00:00;"Deutschland";"58093";"Hagen";"Am HÃ¶ing";"Rasensportplatz Am HÃ¶ing";16;16;80;7,4795869;51,367939
